tender_id,project_name,vendor_name,bid_amount,estimated_amount,status,submission_date
T031,"Rural Bridge Construction - Ratnagiri","J Kumar Developers",13072000,13658000,SUBMITTED,2024-08-14T00:00:00Z
T031,"Rural Bridge Construction - Ratnagiri","ABC Services",15312000,13658000,SUBMITTED,2024-08-14T00:00:00Z
T032,"Cold Storage Facility - Ratnagiri","Andhra Associates",17736000,20353000,AWARDED,2024-05-07T00:00:00Z
T032,"Cold Storage Facility - Ratnagiri","Saraswati Solutions",21170000,20353000,ACTIVE,2024-05-10T00:00:00Z
T032,"Cold Storage Facility - Ratnagiri","Rajasthan Builders",21367000,20353000,SUBMITTED,2024-05-10T00:00:00Z
T033,"Panchayat Community Hall - Amravati","Ganga Associates",4419000,5028000,AWARDED,2024-07-21T00:00:00Z
T033,"Panchayat Community Hall - Amravati","Blue Construction Co",5343000,5028000,SUBMITTED,2024-07-23T00:00:00Z
T034,"Cold Storage Facility - Amravati","Era Construction Co",14963000,17142000,AWARDED,2024-02-24T00:00:00Z
T034,"Cold Storage Facility - Amravati","Island Builders",19273000,17142000,ACTIVE,2024-02-26T00:00:00Z
T034,"Cold Storage Facility - Amravati","Megha Group",16972000,17142000,SUBMITTED,2024-02-28T00:00:00Z
T035,"Water Supply Pipeline Installation - Amravati","Krishna Constructions",17261000,19732000,AWARDED,2024-09-07T00:00:00Z
T035,"Water Supply Pipeline Installation - Amravati","Marwar Associates",20259000,19732000,ACTIVE,2024-09-08T00:00:00Z
T036,"Rural Bridge Construction - Amravati","Era Developers",12251000,13104000,AWARDED,2024-08-29T00:00:00Z
T036,"Rural Bridge Construction - Amravati","Marwar Infra Ltd",13077000,13104000,ACTIVE,2024-09-02T00:00:00Z
T036,"Rural Bridge Construction - Amravati","Shree Services",11800000,13104000,SUBMITTED,2024-09-01T00:00:00Z
T037,"Rainwater Harvesting Structure - Jaipur","Marwar Services",2591000,2862000,AWARDED,2024-03-01T00:00:00Z
T037,"Rainwater Harvesting Structure - Jaipur","ABC Corporation",2634000,2862000,SUBMITTED,2024-03-04T00:00:00Z
T038,"Primary Health Sub-Centre Construction - Jaipur","Vinayak Infra Ltd",5712000,6116000,AWARDED,2024-01-12T00:00:00Z
T038,"Primary Health Sub-Centre Construction - Jaipur","Era Associates",6596000,6116000,ACTIVE,2024-01-15T00:00:00Z
T038,"Primary Health Sub-Centre Construction - Jaipur","Rajasthan Engineering",5448000,6116000,SUBMITTED,2024-01-14T00:00:00Z
T039,"Cattle Shed and Veterinary Centre - Jaipur","Green Solutions",5168000,5903000,AWARDED,2024-02-04T00:00:00Z
T039,"Cattle Shed and Veterinary Centre - Jaipur","Birla Solutions",5394000,5903000,SUBMITTED,2024-02-08T00:00:00Z
T040,"Cold Storage Facility - Jaipur","AFCONS Infra Ltd",19374000,21962000,AWARDED,2024-05-07T00:00:00Z
T040,"Cold Storage Facility - Jaipur","Tamil Associates",23529000,21962000,SUBMITTED,2024-05-11T00:00:00Z
T041,"Rural Bridge Construction - Jodhpur","AFCONS Works",9610000,10541000,AWARDED,2024-04-06T00:00:00Z
T041,"Rural Bridge Construction - Jodhpur","Ramesh Builders",10847000,10541000,SUBMITTED,2024-04-10T00:00:00Z
T041,"Rural Bridge Construction - Jodhpur","Pratap Infra Pvt Ltd",11758000,10541000,SUBMITTED,2024-04-07T00:00:00Z
T042,"Skill Development Training Centre - Jodhpur","Sahyadri Group",5311000,6140000,AWARDED,2024-03-31T00:00:00Z
T042,"Skill Development Training Centre - Jodhpur","Krishna Developers",6460000,6140000,ACTIVE,2024-04-01T00:00:00Z
T042,"Skill Development Training Centre - Jodhpur","Marwar Construction Co",6385000,6140000,SUBMITTED,2024-04-04T00:00:00Z
T043,"Rainwater Harvesting Structure - Jodhpur","Durga Group",3992000,4459000,AWARDED,2024-04-16T00:00:00Z
T043,"Rainwater Harvesting Structure - Jodhpur","Royal Constructions Pvt Ltd",4322000,4459000,SUBMITTED,2024-04-17T00:00:00Z
T043,"Rainwater Harvesting Structure - Jodhpur","Pandian Engineering",4956000,4459000,SUBMITTED,2024-04-18T00:00:00Z
T044,"PMGSY Road Upgradation - Udaipur","Green Corporation",48207000,53916000,AWARDED,2024-04-22T00:00:00Z
T044,"PMGSY Road Upgradation - Udaipur","BrightSun Construction Co",56280000,53916000,SUBMITTED,2024-04-25T00:00:00Z
T044,"PMGSY Road Upgradation - Udaipur","PQR Constructions Pvt Ltd",57556000,53916000,ACTIVE,2024-04-23T00:00:00Z
T045,"Panchayat Community Hall - Udaipur","NCC Corporation",4756000,5187000,AWARDED,2024-06-12T00:00:00Z
T045,"Panchayat Community Hall - Udaipur","Om Constructions Pvt Ltd",5458000,5187000,ACTIVE,2024-06-16T00:00:00Z
T046,"PMGSY Road Upgradation - Udaipur","Ganesh Civil Works",42402000,44828000,AWARDED,2024-06-25T00:00:00Z
T046,"PMGSY Road Upgradation - Udaipur","Era Services",46543000,44828000,ACTIVE,2024-06-28T00:00:00Z
T047,"Government Primary School Renovation - Bikaner","Island Infra Ltd",1987000,2223000,AWARDED,2024-07-30T00:00:00Z
T047,"Government Primary School Renovation - Bikaner","Jai Contractors",2401000,2223000,SUBMITTED,2024-08-03T00:00:00Z
T048,"Government Primary School Renovation - Bikaner","Gujarat Developers",2727000,3170000,AWARDED,2024-07-13T00:00:00Z
T048,"Government Primary School Renovation - Bikaner","XYZ Infra Ltd",3240000,3170000,SUBMITTED,2024-07-16T00:00:00Z
T048,"Government Primary School Renovation - Bikaner","Megha Corporation",3543000,3170000,ACTIVE,2024-07-15T00:00:00Z
T049,"Primary Health Sub-Centre Construction - Bikaner","Ambika Enterprises",10192000,10901000,AWARDED,2024-07-15T00:00:00Z
T049,"Primary Health Sub-Centre Construction - Bikaner","Ramesh Services",11418000,10901000,SUBMITTED,2024-07-17T00:00:00Z
T050,"Rural Bridge Construction - Bikaner","Island Projects",17635000,20228000,AWARDED,2024-05-06T00:00:00Z
T050,"Rural Bridge Construction - Bikaner","Durga Infra Ltd",18269000,20228000,ACTIVE,2024-05-07T00:00:00Z
T050,"Rural Bridge Construction - Bikaner","J Kumar Enterprises",18565000,20228000,ACTIVE,2024-05-08T00:00:00Z
T051,"Drainage and Sanitation Works - Ajmer","Simplex Engineering Ltd",2680000,2838000,AWARDED,2024-06-14T00:00:00Z
T051,"Drainage and Sanitation Works - Ajmer","Blue Builders",2594000,2838000,SUBMITTED,2024-06-17T00:00:00Z
T051,"Drainage and Sanitation Works - Ajmer","Durga Infrastructure",2606000,2838000,ACTIVE,2024-06-15T00:00:00Z
T052,"Water Supply Pipeline Installation - Ajmer","Apex Corporation",9133000,9781000,AWARDED,2024-05-21T00:00:00Z
T052,"Water Supply Pipeline Installation - Ajmer","Krishna Works",9049000,9781000,ACTIVE,2024-05-24T00:00:00Z
T052,"Water Supply Pipeline Installation - Ajmer","Royal Engineering Ltd",9560000,9781000,SUBMITTED,2024-05-25T00:00:00Z
T053,"Borewell and Handpump Installation - Ajmer","Ganga Works",2140000,2453000,AWARDED,2024-04-08T00:00:00Z
T053,"Borewell and Handpump Installation - Ajmer","NCC Services",2179000,2453000,ACTIVE,2024-04-12T00:00:00Z
T054,"Check Dam Construction - Kota","Om Constructions",8611000,9712000,AWARDED,2024-01-27T00:00:00Z
T054,"Check Dam Construction - Kota","National Infra Pvt Ltd",10797000,9712000,SUBMITTED,2024-01-28T00:00:00Z
T055,"Public Toilet Block (SBMG) - Kota","Island Group",1959000,2130000,AWARDED,2024-05-20T00:00:00Z
T055,"Public Toilet Block (SBMG) - Kota","Larsen Builders",2219000,2130000,SUBMITTED,2024-05-21T00:00:00Z
T055,"Public Toilet Block (SBMG) - Kota","Megha Associates",2026000,2130000,ACTIVE,2024-05-21T00:00:00Z
T056,"Anganwadi Centre Construction - Kota","Tamil Engineering Ltd",3115000,3456000,AWARDED,2024-03-01T00:00:00Z
T056,"Anganwadi Centre Construction - Kota","Ram Construction Co",3300000,3456000,SUBMITTED,2024-03-05T00:00:00Z
T057,"Tribal Welfare Hostel Construction - Kota","Jai Projects",7457000,7893000,AWARDED,2024-06-23T00:00:00Z
T057,"Tribal Welfare Hostel Construction - Kota","Sai Infrastructure",7979000,7893000,ACTIVE,2024-06-24T00:00:00Z
T057,"Tribal Welfare Hostel Construction - Kota","Meenakshi Constructions",7500000,7893000,SUBMITTED,2024-06-25T00:00:00Z
T058,"Solar Street Lighting - Barmer","IRB Civil Works",1775000,1952000,AWARDED,2024-10-25T00:00:00Z
T058,"Solar Street Lighting - Barmer","Rajasthan Group",2018000,1952000,SUBMITTED,2024-10-26T00:00:00Z
T058,"Solar Street Lighting - Barmer","Royal Engineering Ltd",2107000,1952000,ACTIVE,2024-10-27T00:00:00Z
T059,"Tribal Welfare Hostel Construction - Barmer","Andhra Engineering Ltd",13462000,14676000,AWARDED,2024-01-23T00:00:00Z
T059,"Tribal Welfare Hostel Construction - Barmer","ABC Infrastructure",13889000,14676000,SUBMITTED,2024-01-26T00:00:00Z
T060,"Rural Road Construction - Barmer","KNR Civil Works",10296000,11111000,AWARDED,2024-01-22T00:00:00Z
T060,"Rural Road Construction - Barmer","Tamil Works",12346000,11111000,SUBMITTED,2024-01-24T00:00:00Z
T060,"Rural Road Construction - Barmer","Om Builders",10364000,11111000,SUBMITTED,2024-01-25T00:00:00Z
T061,"Cold Storage Facility - Sikar","PQR Engineering",20807000,21944000,AWARDED,2024-07-31T00:00:00Z
T061,"Cold Storage Facility - Sikar","Bengal Services",23623000,21944000,SUBMITTED,2024-08-04T00:00:00Z
T062,"Cold Storage Facility - Sikar","KNR Corporation",15921000,16794000,AWARDED,2024-07-19T00:00:00Z
T062,"Cold Storage Facility - Sikar","Apex Constructions Pvt Ltd",15495000,16794000,SUBMITTED,2024-07-21T00:00:00Z
T062,"Cold Storage Facility - Sikar","Gujarat Associates",15168000,16794000,SUBMITTED,2024-07-21T00:00:00Z
T063,"Public Toilet Block (SBMG) - Sikar","Ramesh Constructions Pvt Ltd",1915000,2025000,AWARDED,2024-07-28T00:00:00Z
T063,"Public Toilet Block (SBMG) - Sikar","Krishna Infrastructure",1931000,2025000,ACTIVE,2024-08-01T00:00:00Z
T064,"Panchayat Community Hall - Bharatpur","J Kumar Solutions",4844000,5340000,AWARDED,2024-03-24T00:00:00Z
T064,"Panchayat Community Hall - Bharatpur","Jai Projects",5412000,5340000,SUBMITTED,2024-03-25T00:00:00Z
T065,"Water Supply Pipeline Installation - Bharatpur","Bengal Enterprises",3864000,4379000,AWARDED,2024-04-16T00:00:00Z
T065,"Water Supply Pipeline Installation - Bharatpur","Sunrise Corporation",4203000,4379000,SUBMITTED,2024-04-18T00:00:00Z
T066,"Rural Electrification Works - Bharatpur","Simplex Solutions",7938000,8456000,AWARDED,2024-05-22T00:00:00Z
T066,"Rural Electrification Works - Bharatpur","Gujarat Projects",7899000,8456000,ACTIVE,2024-05-26T00:00:00Z
T067,"Rural Electrification Works - Bharatpur","Shree Contractors",2626000,2932000,AWARDED,2024-06-26T00:00:00Z
T067,"Rural Electrification Works - Bharatpur","Simplex Civil Works",3187000,2932000,ACTIVE,2024-06-28T00:00:00Z
T068,"Rural Electrification Works - Alwar","Era Contractors",8206000,8750000,AWARDED,2024-07-02T00:00:00Z
T068,"Rural Electrification Works - Alwar","XYZ Builders",7828000,8750000,SUBMITTED,2024-07-04T00:00:00Z
T069,"Irrigation Canal Construction - Alwar","Ambika Services",24247000,28481000,AWARDED,2024-06-27T00:00:00Z
T069,"Irrigation Canal Construction - Alwar","XYZ Builders",27167000,28481000,SUBMITTED,2024-06-30T00:00:00Z
T069,"Irrigation Canal Construction - Alwar","Jai Infra Pvt Ltd",28270000,28481000,SUBMITTED,2024-07-01T00:00:00Z
T070,"PMGSY Road Upgradation - Alwar","Island Contractors",50620000,56263000,AWARDED,2024-02-08T00:00:00Z
T070,"PMGSY Road Upgradation - Alwar","Andhra Infrastructure",57571000,56263000,ACTIVE,2024-02-10T00:00:00Z
T070,"PMGSY Road Upgradation - Alwar","Larsen Construction Co",50561000,56263000,SUBMITTED,2024-02-11T00:00:00Z
T071,"Panchayat Community Hall - Indore","Om Associates",8743000,10046000,AWARDED,2024-06-19T00:00:00Z
T071,"Panchayat Community Hall - Indore","KNR Enterprises",9103000,10046000,SUBMITTED,2024-06-20T00:00:00Z
T071,"Panchayat Community Hall - Indore","Krishna Infra Ltd",10473000,10046000,ACTIVE,2024-06-20T00:00:00Z
T072,"Borewell and Handpump Installation - Indore","Ganga Corporation",752000,868000,AWARDED,2024-06-16T00:00:00Z
T072,"Borewell and Handpump Installation - Indore","Ram Construction Co",785000,868000,ACTIVE,2024-06-20T00:00:00Z
T072,"Borewell and Handpump Installation - Indore","Sai Infra Pvt Ltd",879000,868000,ACTIVE,2024-06-19T00:00:00Z
T073,"Tribal Welfare Hostel Construction - Indore","Jai Constructions Pvt Ltd",10663000,11565000,AWARDED,2024-04-17T00:00:00Z
T073,"Tribal Welfare Hostel Construction - Indore","IRB Infra Ltd",11230000,11565000,SUBMITTED,2024-04-18T00:00:00Z
T073,"Tribal Welfare Hostel Construction - Indore","Ram Engineering Ltd",12750000,11565000,SUBMITTED,2024-04-20T00:00:00Z
T074,"Rural Road Construction - Indore","Gujarat Associates",21528000,22772000,AWARDED,2024-01-16T00:00:00Z
T074,"Rural Road Construction - Indore","NCC Infrastructure",22463000,22772000,ACTIVE,2024-01-18T00:00:00Z
T074,"Rural Road Construction - Indore","BrightSun Engineering Ltd",23633000,22772000,ACTIVE,2024-01-19T00:00:00Z
T075,"Community Pond Renovation - Bhopal","Elite Developers",2047000,2258000,AWARDED,2024-01-08T00:00:00Z
T075,"Community Pond Renovation - Bhopal","IRB Contractors",2521000,2258000,ACTIVE,2024-01-11T00:00:00Z
T075,"Community Pond Renovation - Bhopal","Rajasthan Solutions",2338000,2258000,SUBMITTED,2024-01-10T00:00:00Z
T076,"Community Pond Renovation - Bhopal","Jai Civil Works",1175000,1277000,AWARDED,2024-10-13T00:00:00Z
T076,"Community Pond Renovation - Bhopal","IRB Corporation",1157000,1277000,ACTIVE,2024-10-16T00:00:00Z
T076,"Community Pond Renovation - Bhopal","Pratap Contractors",1351000,1277000,SUBMITTED,2024-10-17T00:00:00Z
T077,"Irrigation Canal Construction - Bhopal","KNR Associates",9309000,9936000,AWARDED,2024-03-06T00:00:00Z
T077,"Irrigation Canal Construction - Bhopal","Maharashtra Engineering Ltd",10787000,9936000,SUBMITTED,2024-03-07T00:00:00Z
T077,"Irrigation Canal Construction - Bhopal","ABC Contractors",8967000,9936000,SUBMITTED,2024-03-09T00:00:00Z
T078,"Rural Road Construction - Gwalior","Ram Services",17111000,18940000,AWARDED,2024-08-12T00:00:00Z
T078,"Rural Road Construction - Gwalior","Elite Constructions Pvt Ltd",20611000,18940000,SUBMITTED,2024-08-16T00:00:00Z
T079,"Rainwater Harvesting Structure - Gwalior","Island Associates",3385000,3569000,AWARDED,2024-04-01T00:00:00Z
T079,"Rainwater Harvesting Structure - Gwalior","Krishna Constructions",3713000,3569000,SUBMITTED,2024-04-02T00:00:00Z
T079,"Rainwater Harvesting Structure - Gwalior","National Projects",3870000,3569000,ACTIVE,2024-04-02T00:00:00Z
T080,"Cold Storage Facility - Gwalior","Vimal Builders",6228000,6901000,AWARDED,2024-06-24T00:00:00Z
T080,"Cold Storage Facility - Gwalior","Era Infra Ltd",7571000,6901000,SUBMITTED,2024-06-26T00:00:00Z
T081,"Soil Conservation Works - Jabalpur","Om Infra Pvt Ltd",4612000,5310000,AWARDED,2024-10-02T00:00:00Z
T081,"Soil Conservation Works - Jabalpur","Sahyadri Associates",5234000,5310000,ACTIVE,2024-10-06T00:00:00Z
T082,"Tribal Welfare Hostel Construction - Jabalpur","Durga Enterprises",14362000,16882000,AWARDED,2024-07-15T00:00:00Z
T082,"Tribal Welfare Hostel Construction - Jabalpur","Vimal Developers",15621000,16882000,SUBMITTED,2024-07-17T00:00:00Z
T083,"Solid Waste Management System - Jabalpur","Ganga Works",7125000,8024000,AWARDED,2024-04-21T00:00:00Z
T083,"Solid Waste Management System - Jabalpur","Premier Corporation",8487000,8024000,SUBMITTED,2024-04-23T00:00:00Z
T084,"Borewell and Handpump Installation - Jabalpur","Durga Civil Works",511000,566000,AWARDED,2024-02-08T00:00:00Z
T084,"Borewell and Handpump Installation - Jabalpur","Island Enterprises",566000,566000,SUBMITTED,2024-02-11T00:00:00Z
T085,"Rural Electrification Works - Ujjain","Om Constructions Pvt Ltd",3711000,3962000,AWARDED,2024-07-29T00:00:00Z
T085,"Rural Electrification Works - Ujjain","Shiva Engineering Ltd",3653000,3962000,ACTIVE,2024-07-30T00:00:00Z
T085,"Rural Electrification Works - Ujjain","Vimal Developers",3738000,3962000,ACTIVE,2024-07-30T00:00:00Z
T086,"Irrigation Canal Construction - Ujjain","Vinayak Constructions",25811000,28194000,AWARDED,2024-06-21T00:00:00Z
T086,"Irrigation Canal Construction - Ujjain","Shree Corporation",29783000,28194000,ACTIVE,2024-06-25T00:00:00Z
T086,"Irrigation Canal Construction - Ujjain","NCC Corporation",30067000,28194000,SUBMITTED,2024-06-22T00:00:00Z
T087,"Rainwater Harvesting Structure - Ujjain","Elite Builders",5104000,5963000,AWARDED,2024-03-16T00:00:00Z
T087,"Rainwater Harvesting Structure - Ujjain","Pandian Corporation",5833000,5963000,ACTIVE,2024-03-17T00:00:00Z
T088,"Drainage and Sanitation Works - Ujjain","Ram Civil Works",4037000,4673000,AWARDED,2024-07-05T00:00:00Z
T088,"Drainage and Sanitation Works - Ujjain","Sunrise Engineering",5045000,4673000,SUBMITTED,2024-07-07T00:00:00Z
T088,"Drainage and Sanitation Works - Ujjain","Karnataka Constructions Pvt Ltd",4568000,4673000,SUBMITTED,2024-07-06T00:00:00Z
T089,"Check Dam Construction - Sagar","IRB Civil Works",7681000,8469000,AWARDED,2024-02-16T00:00:00Z
T089,"Check Dam Construction - Sagar","Pioneer Construction Co",8168000,8469000,SUBMITTED,2024-02-19T00:00:00Z
T090,"Cattle Shed and Veterinary Centre - Sagar","J Kumar Infra Ltd",4781000,5272000,AWARDED,2024-03-08T00:00:00Z
T090,"Cattle Shed and Veterinary Centre - Sagar","Sai Constructions Pvt Ltd",5341000,5272000,ACTIVE,2024-03-10T00:00:00Z
T090,"Cattle Shed and Veterinary Centre - Sagar","ABC Services",5148000,5272000,ACTIVE,2024-03-10T00:00:00Z
T091,"Anganwadi Centre Construction - Sagar","Rajasthan Constructions",3129000,3675000,AWARDED,2024-02-14T00:00:00Z
